0.010000 	 0.572967 	 0.999975 	 0.981254 
0.020000 	 1.145992 	 0.999881 	 0.977685 
0.030000 	 1.719131 	 0.997968 	 0.971631 
0.040000 	 2.292443 	 0.994306 	 0.964547 
0.050000 	 2.865984 	 0.989379 	 0.956762 
0.060000 	 3.439813 	 0.983446 	 0.948405 
0.070000 	 4.013987 	 0.976667 	 0.939550 
0.080000 	 4.588566 	 0.969156 	 0.930250 
0.090000 	 5.163607 	 0.960997 	 0.920546 
0.100000 	 5.739170 	 0.952259 	 0.910471 
0.110000 	 6.315316 	 0.942995 	 0.900055 
0.120000 	 6.892103 	 0.933252 	 0.889323 
0.130000 	 7.469592 	 0.923069 	 0.878298 
0.140000 	 8.047846 	 0.912484 	 0.867001 
0.150000 	 8.626927 	 0.901524 	 0.855451 
0.160000 	 9.206896 	 0.890219 	 0.843665 
0.170000 	 9.787819 	 0.878595 	 0.831661 
0.180000 	 10.369760 	 0.866674 	 0.819454 
0.190000 	 10.952784 	 0.854478 	 0.807058 
0.200000 	 11.536959 	 0.842027 	 0.794488 
0.210000 	 12.122352 	 0.829340 	 0.781756 
0.220000 	 12.709033 	 0.816436 	 0.768876 
0.230000 	 13.297072 	 0.803329 	 0.755860 
0.240000 	 13.886540 	 0.790037 	 0.742720 
0.250000 	 14.477512 	 0.776575 	 0.729467 
0.260000 	 15.070062 	 0.762956 	 0.716111 
0.270000 	 15.664267 	 0.749195 	 0.702663 
0.280000 	 16.260205 	 0.735306 	 0.689134 
0.290000 	 16.857956 	 0.721300 	 0.675533 
0.300000 	 17.457603 	 0.707192 	 0.661870 
0.310000 	 18.059230 	 0.692992 	 0.648157 
0.320000 	 18.662925 	 0.678712 	 0.634400 
0.330000 	 19.268775 	 0.664364 	 0.620608 
0.340000 	 19.876874 	 0.649958 	 0.606792 
0.350000 	 20.487315 	 0.635505 	 0.592962 
0.360000 	 21.100196 	 0.621018 	 0.579120 
0.370000 	 21.715617 	 0.606503 	 0.565283 
0.380000 	 22.333683 	 0.591972 	 0.551450 
0.390000 	 22.954499 	 0.577438 	 0.537639 
0.400000 	 23.578178 	 0.562904 	 0.523848 
0.410000 	 24.204835 	 0.548386 	 0.510091 
0.420000 	 24.834587 	 0.533888 	 0.496379 
0.430000 	 25.467560 	 0.519421 	 0.482710 
0.440000 	 26.103881 	 0.505000 	 0.469095 
0.450000 	 26.743684 	 0.490623 	 0.455546 
0.460000 	 27.387108 	 0.476303 	 0.442068 
0.470000 	 28.034297 	 0.462051 	 0.428670 
0.480000 	 28.685402 	 0.447876 	 0.415358 
0.490000 	 29.340582 	 0.433788 	 0.402139 
0.500000 	 30.000000 	 0.419792 	 0.389018 
0.510000 	 30.663830 	 0.405896 	 0.376003 
0.520000 	 31.332251 	 0.392109 	 0.363099 
0.530000 	 32.005455 	 0.378437 	 0.350313 
0.540000 	 32.683639 	 0.364886 	 0.337651 
0.550000 	 33.367013 	 0.351466 	 0.325120 
0.560000 	 34.055798 	 0.338182 	 0.312729 
0.570000 	 34.750226 	 0.325045 	 0.300489 
0.580000 	 35.450543 	 0.312065 	 0.288399 
0.590000 	 36.157008 	 0.299249 	 0.276466 
0.600000 	 36.869898 	 0.286598 	 0.264703 
0.610000 	 37.589503 	 0.274128 	 0.253109 
0.620000 	 38.316134 	 0.261841 	 0.241696 
0.630000 	 39.050123 	 0.249745 	 0.230465 
0.640000 	 39.791819 	 0.237849 	 0.219428 
0.650000 	 40.541602 	 0.226159 	 0.208585 
0.660000 	 41.299873 	 0.214681 	 0.197949 
0.670000 	 42.067065 	 0.203425 	 0.187521 
0.680000 	 42.843643 	 0.192397 	 0.177309 
0.690000 	 43.630109 	 0.181601 	 0.167319 
0.700000 	 44.427004 	 0.171048 	 0.157558 
0.710000 	 45.234915 	 0.160744 	 0.148030 
0.720000 	 46.054480 	 0.150695 	 0.138743 
0.730000 	 46.886394 	 0.140908 	 0.129702 
0.740000 	 47.731416 	 0.131389 	 0.120914 
0.750000 	 48.590378 	 0.122147 	 0.112383 
0.760000 	 49.464198 	 0.113187 	 0.104117 
0.770000 	 50.353889 	 0.104517 	 0.096121 
0.780000 	 51.260575 	 0.096142 	 0.088400 
0.790000 	 52.185511 	 0.088070 	 0.080961 
0.800000 	 53.130102 	 0.080308 	 0.073810 
0.810000 	 54.095931 	 0.072861 	 0.066953 
0.820000 	 55.084794 	 0.065736 	 0.060394 
0.830000 	 56.098738 	 0.058941 	 0.054141 
0.840000 	 57.140120 	 0.052481 	 0.048198 
0.850000 	 58.211669 	 0.046363 	 0.042571 
0.860000 	 59.316583 	 0.040594 	 0.037267 
0.870000 	 60.458639 	 0.035180 	 0.032291 
0.880000 	 61.642363 	 0.030127 	 0.027648 
0.890000 	 62.873247 	 0.025442 	 0.023344 
0.900000 	 64.158067 	 0.021131 	 0.019385 
0.910000 	 65.505352 	 0.017201 	 0.015777 
0.920000 	 66.926082 	 0.013658 	 0.012525 
0.930000 	 68.434815 	 0.010508 	 0.009635 
0.940000 	 70.051556 	 0.007757 	 0.007112 
0.950000 	 71.805128 	 0.005413 	 0.004962 
0.960000 	 73.739795 	 0.003481 	 0.003190 
0.970000 	 75.930132 	 0.001967 	 0.001803 
0.980000 	 78.521659 	 0.000879 	 0.000805 
0.990000 	 81.890386 	 0.000221 	 0.000202 
1.000000 	 90.000000 	 0.000000 	 0.000000 
